START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/16/14,07:15 PM,08:15 PM,Braves at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/16/14,05/16/14,10:15 PM,11:15 PM,FALSE,TRUE,05/16/14,06:15 PM,07:15 PM,FREE,BUSY
05/17/14,01:15 PM,02:15 PM,Braves at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/17/14,05/17/14,04:15 PM,05:15 PM,FALSE,TRUE,05/17/14,12:15 PM,01:15 PM,FREE,BUSY
05/18/14,01:15 PM,02:15 PM,Braves at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/18/14,05/18/14,04:15 PM,05:15 PM,FALSE,TRUE,05/18/14,12:15 PM,01:15 PM,FREE,BUSY
05/20/14,07:15 PM,08:15 PM,D-backs at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/20/14,05/20/14,10:15 PM,11:15 PM,FALSE,TRUE,05/20/14,06:15 PM,07:15 PM,FREE,BUSY
05/21/14,07:15 PM,08:15 PM,D-backs at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/21/14,05/21/14,10:15 PM,11:15 PM,FALSE,TRUE,05/21/14,06:15 PM,07:15 PM,FREE,BUSY
05/22/14,06:15 PM,07:15 PM,D-backs at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/22/14,05/22/14,09:15 PM,10:15 PM,FALSE,TRUE,05/22/14,05:15 PM,06:15 PM,FREE,BUSY
05/23/14,06:10 PM,07:10 PM,Cardinals at Reds,Great American Ball Park,"Local Radio: KMOX 1120",05/23/14,05/23/14,09:10 PM,10:10 PM,FALSE,TRUE,05/23/14,05:10 PM,06:10 PM,FREE,BUSY
05/24/14,03:33 AM,03:33 AM,Cardinals at Reds,Great American Ball Park,"Local Radio: KMOX 1120",05/24/14,05/24/14,06:33 AM,06:33 AM,FALSE,TRUE,05/24/14,02:33 AM,02:33 AM,FREE,BUSY
05/25/14,12:10 PM,01:10 PM,Cardinals at Reds,Great American Ball Park,"Local Radio: KMOX 1120",05/25/14,05/25/14,03:10 PM,04:10 PM,FALSE,TRUE,05/25/14,11:10 AM,12:10 PM,FREE,BUSY
05/26/14,03:15 PM,04:15 PM,Yankees at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/26/14,05/26/14,06:15 PM,07:15 PM,FALSE,TRUE,05/26/14,02:15 PM,03:15 PM,FREE,BUSY
05/27/14,07:15 PM,08:15 PM,Yankees at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/27/14,05/27/14,10:15 PM,11:15 PM,FALSE,TRUE,05/27/14,06:15 PM,07:15 PM,FREE,BUSY
05/28/14,07:15 PM,08:15 PM,Yankees at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/28/14,05/28/14,10:15 PM,11:15 PM,FALSE,TRUE,05/28/14,06:15 PM,07:15 PM,FREE,BUSY
05/29/14,07:15 PM,08:15 PM,Giants at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/29/14,05/29/14,10:15 PM,11:15 PM,FALSE,TRUE,05/29/14,06:15 PM,07:15 PM,FREE,BUSY
05/30/14,07:15 PM,08:15 PM,Giants at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/30/14,05/30/14,10:15 PM,11:15 PM,FALSE,TRUE,05/30/14,06:15 PM,07:15 PM,FREE,BUSY
05/31/14,01:15 PM,02:15 PM,Giants at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",05/31/14,05/31/14,04:15 PM,05:15 PM,FALSE,TRUE,05/31/14,12:15 PM,01:15 PM,FREE,BUSY
06/01/14,01:15 PM,02:15 PM,Giants at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",06/01/14,06/01/14,04:15 PM,05:15 PM,FALSE,TRUE,06/01/14,12:15 PM,01:15 PM,FREE,BUSY
06/02/14,07:15 PM,08:15 PM,Royals at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",06/02/14,06/02/14,10:15 PM,11:15 PM,FALSE,TRUE,06/02/14,06:15 PM,07:15 PM,FREE,BUSY
06/03/14,06:15 PM,07:15 PM,Royals at Cardinals,Busch Stadium,"Local Radio: KMOX 1120",06/03/14,06/03/14,09:15 PM,10:15 PM,FALSE,TRUE,06/03/14,05:15 PM,06:15 PM,FREE,BUSY
06/04/14,03:33 AM,03:33 AM,Cardinals at Royals,Kauffman Stadium,"Local Radio: KMOX 1120",06/04/14,06/04/14,06:33 AM,06:33 AM,FALSE,TRUE,06/04/14,02:33 AM,02:33 AM,FREE,BUSY
